Reference Id	Reference Type	Brief Author	Brief Title	Link	Citation
2	image	Toronto Star	How a Toronto professor’s research revolutionized artificial intelligence	https://www.thestar.com/news/world/2015/04/17/how-a-toronto-professors-research-revolutionized-artificial-intelligence.html	
3	image	Wikimedia	Boltzmann machine	https://en.wikipedia.org/wiki/Boltzmann_machine	
4	paper	Krizhevsky et al.	Imagenet classification with deep convolutional neural networks	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjw6Ne0nJ_RAhWW0YMKHdo0A3cQFggfMAA&url=https%3A%2F%2Fpapers.nips.cc%2Fpaper%2F4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf&usg=AFQjCNFlGsSmTUkJw0gLJ0Ry4cm961B7WA&sig2=rn4V1HDWEcLZBC35u-T-bA	Krizhevsky, Alex, Ilya Sutskever, and Geoffrey E. Hinton. "Imagenet classification with deep convolutional neural networks." Advances in neural information processing systems. 2012.
5	image	Giga OM	Facebook hires NYU deep learning expert to run its new AI lab	https://gigaom.com/2013/12/09/facebook-hires-nyu-deep-learning-expert-to-run-its-new-ai-lab/	
6	image	Boston Globe	MIT artificial intelligence, robotics pioneer feted	https://www.bostonglobe.com/business/2014/01/15/mit-professor-marvin-minsky-wins-award/aSiCSHIjlGycOGYmeLSZ5L/story.html	
7	website	Wikipedia	Moravec's paradox	https://en.wikipedia.org/wiki/Moravec's_paradox	
8	video	Peradze	Top 50 Goals of Lionel Messi	https://www.youtube.com/watch?v=30ZPNhIuuMo	
9	video	Team NimbRo	RoboCup 2016: NimbRo vs AUTMan	https://www.youtube.com/watch?v=9saVpA3wIbU	
10	video	IEEE Spectrum	A Compilation of Robots Falling Down at the DARPA Robotics Challenge	https://www.youtube.com/watch?v=g0TaYhjpOfo	
11	book	Moravec	Mind Children		Moravec, Hans. Mind children. Vol. 375. Cambridge, MA: Harvard University Press, 1988.
12	image	Wikimedia	Expert system	https://en.wikipedia.org/wiki/Expert_system	
13	video	ParisTech Robotics	Lane detection KITTI	https://www.youtube.com/watch?v=NJ8iXYZfUmA	
14	dataset	LeCun et al.	MNIST	http://yann.lecun.com/exdb/mnist/	
15	website	Wikipedia	Anscombe's quartet	https://en.wikipedia.org/w/index.php?title=Anscombe%27s_quartet	
16	website	Wikipedia	Linear regression	https://en.wikipedia.org/wiki/Linear_regression	
17	paper	Rosenblatt	The perceptron: a probabilistic model for information storage and organization in the brain	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjwn-y-nJ_RAhUE2oMKHTVQAKwQFggfMAA&url=http%3A%2F%2Fwww.ling.upenn.edu%2Fcourses%2Fcogs501%2FRosenblatt1958.pdf&usg=AFQjCNHKyJqFYdReIvyGXvTzVK60to4yrw&sig2=H2BvIHK_Km_A7Cxwev08JA	Rosenblatt, Frank. "The perceptron: a probabilistic model for information storage and organization in the brain." Psychological review 65.6 (1958): 386.
18	link	Karpathy	Convolutional Neural Networks for Visual Recognition	http://cs231n.github.io/neural-networks-1/	
19	link	Mastin	Neurons and Synapses	http://www.human-memory.net/brain_neurons.html	
20	book	Goodfellow	Deep learning	http://www.deeplearningbook.org/	Ian J. Goodfellow, Bengio, Yoshua, and Aaron Courville. "Deep learning." An MIT Press book in preparation. (2017).
21	link	Google Trends	Deep learning	https://www.google.com/trends/explore?date=2006-11-30%202016-12-30&q=deep%20learning	
22	book	Hebb	The organization of behavior: A neuropsychological theory		Hebb, Donald Olding. The organization of behavior: A neuropsychological theory. 1949.
23	link	Kurenkov	A 'Brief' History of Neural Nets and Deep Learning, Part 1	http://www.andreykurenkov.com/writing/a-brief-history-of-neural-nets-and-deep-learning/	
24	book	Bishop	Pattern recognition		Bishop, Christopher M. "Pattern recognition." Machine Learning 128 (2006).
25	paper	Zhang et al.	Colorful Image Colorization	https://arxiv.org/pdf/1603.08511.pdf	Zhang, Richard, Phillip Isola, and Alexei A. Efros. "Colorful Image Colorization." arXiv preprint arXiv:1603.08511 (2016).
26	video	Jefferson	Automatic Video Colorization	http://whattogive.com/videoColourization/	
27	video	Internet Archive	Impact	https://archive.org/details/impact	
28	paper	Owens et al.	Visually Indicated Sounds	https://arxiv.org/pdf/1512.08512.pdf	
